slug,source
xiaomi-redmi-a7-pro-128gb,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\xiaomi-redmi-a7-pro-128gb-fb.png
realme-c71-128gb,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\realme-c71-128gb-dual-sim-fb.png
oppo-a6x-64gb-purple,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\oppo-a6x-64gb-purple-front-back.png
huawei-nova-14i,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\huawei-nova-14i-fb.png
huawei-nova-y63-black,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\huawei-nova-y63-black-fb.png
huawei-y73s-128gb,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\huawei-y73s-128gb-dual-sim-fb.png
honor-x9d-256gb-gold,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\honor-x9d-256gb-dual-sim-gold-euv11-1.png
honor-x7d-256gb,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\honor-x7d-256gb-front-1.png
honor-x6c-black,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\honor-x6c-black-fb.png
honor-x5c-plus-128gb,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\honor-x5c-plus-128gb-fb_d6837156-19c2-48fc-8066-cd294f522062.png
honor-x5c-64gb,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\honor-x5c-64gb-fb_9abd534e-4b73-403a-a507-c64e377b81ab.png
hisense-e72-128gb,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\hisense-e72-128b-fb-ero99.png
hisense-h72-pro-256gb,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\hisense-h72-pro-256gb-fb.png
hisense-t2-64gb,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\hisense-t2-64gb-fb.png
hisense-u207,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\hisense-u207-front.png
hmd-key-32gb,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\hmd-key-32gb-front-back.png
nokia-105-mtn,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\nokia-105-mtn-front-image.png
mobicel-p12-plus,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\mobicel-p12-plus-fb.png
mobicel-f52-32gb-dual-sim,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\mobicel-f52-32gb-dual-sim-fb_64737028-89e9-46b0-bc30-13fa0473b158.png
mobicel-f42-32gb,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\mobicel-f42-32gb-fb.png
mobicel-spectra-j2-64gb,Products\pepcell.com_681e9f7c-d3d6-4f73-bb6c-89bb422d7358\spectra-j2-dual-sim-64gb-fb.png
